LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,BILL_AMT1,PAY_AMT1,PAY_AMT2,default_payment_next_month
20000,female,university,married,24,2 month(s) late,2 month(s) late,3913,0,689,1
120000,female,university,single,26,on time,2 month(s) late,2682,0,1000,1
90000,female,university,single,34,on time,on time,29239,1518,1500,0
50000,female,university,married,37,on time,on time,46990,2000,2019,0
50000,male,university,married,57,on time,on time,8617,2000,36681,0
50000,male,graduate school,single,37,on time,on time,64400,2500,1815,0
500000,male,graduate school,single,29,on time,on time,367965,55000,40000,0
100000,female,university,single,23,on time,on time,11876,380,601,0
140000,female,high school,married,28,on time,on time,11285,3329,0,0
20000,male,high school,single,35,on time,on time,0,0,0,0
200000,female,high school,single,34,on time,on time,11073,2306,12,0
260000,female,graduate school,single,51,on time,on time,12261,21818,9966,0
630000,female,university,single,41,on time,on time,12137,1000,6500,0
70000,male,university,single,30,1 month(s) late,2 month(s) late,65802,3200,0,1
250000,male,graduate school,single,29,on time,on time,70887,3000,3000,0
50000,female,high school,other,23,1 month(s) late,2 month(s) late,50614,0,1500,0
20000,male,graduate school,single,24,on time,on time,15376,3200,0,1
320000,male,graduate school,married,49,on time,on time,253286,10358,10000,0
360000,female,graduate school,married,49,1 month(s) late,on time,0,0,0,0
180000,female,graduate school,single,29,1 month(s) late,on time,0,0,0,0
130000,female,high school,single,39,on time,on time,38358,3000,1537,0
120000,female,university,married,39,on time,on time,316,316,316,1
70000,female,university,single,26,2 month(s) late,on time,41087,2007,3582,1
450000,female,graduate school,married,40,on time,on time,5512,19428,1473,1
90000,male,graduate school,single,23,on time,on time,4744,5757,0,0
50000,male,high school,single,23,on time,on time,47620,1973,1426,0
60000,male,graduate school,single,27,1 month(s) late,on time,-109,0,1000,1
50000,female,high school,single,30,on time,on time,22541,1300,1300,0
50000,female,high school,married,47,on time,on time,650,3415,3421,0
50000,male,graduate school,single,26,on time,on time,15329,1500,1500,0
230000,female,graduate school,single,27,on time,on time,16646,17270,13281,0
50000,male,university,single,33,2 month(s) late,on time,30518,1718,1500,1
100000,male,graduate school,single,32,on time,on time,93036,3023,3511,0
500000,female,university,married,54,on time,on time,10929,4152,22827,0
500000,male,graduate school,married,58,on time,on time,13709,5006,31178,0
160000,male,graduate school,single,30,on time,on time,30265,131,396,0
280000,male,university,married,40,on time,on time,186503,8026,8060,0
60000,female,university,single,22,on time,on time,15054,1500,1518,0
50000,male,graduate school,single,25,1 month(s) late,on time,0,780,0,1
280000,male,graduate school,single,31,on time,on time,498,9075,0,0
360000,male,graduate school,single,33,on time,on time,218668,10000,7000,0
70000,female,graduate school,single,25,on time,on time,67521,3000,4500,0
10000,male,university,single,22,on time,on time,1877,1500,2927,0
140000,female,university,married,37,on time,on time,59504,3000,3000,0
40000,female,graduate school,single,30,on time,on time,18927,3000,5000,0
210000,male,graduate school,single,29,on time,on time,0,0,0,1
20000,female,graduate school,single,22,on time,on time,14028,3000,0,1
150000,female,other,single,46,on time,on time,4463,1013,1170,1
380000,male,university,single,32,on time,on time,22401,21540,15138,0
20000,male,graduate school,single,24,on time,on time,17447,1318,1315,0
70000,male,high school,single,42,1 month(s) late,2 month(s) late,37042,0,3100,1
100000,female,high school,other,43,on time,on time,61559,2000,1606,0
310000,female,university,married,49,on time,on time,13465,7875,7600,0
180000,female,graduate school,single,25,1 month(s) late,2 month(s) late,41402,1300,2010,0
150000,female,graduate school,single,29,2 month(s) late,on time,46224,1600,1718,0
500000,female,graduate school,married,45,on time,on time,1905,3640,162,0
180000,female,high school,married,34,on time,on time,16386,8500,1500,0
180000,female,university,married,34,on time,on time,175886,8083,7296,0
200000,female,graduate school,single,34,on time,3 month(s) late,1587,0,0,0
400000,female,university,married,29,on time,on time,400134,17000,15029,0
500000,female,high school,married,28,on time,on time,22848,1516,1300,1
70000,male,university,married,39,on time,on time,70800,4025,2095,0
50000,male,graduate school,single,29,2 month(s) late,2 month(s) late,24987,0,2700,1
50000,female,university,married,46,on time,on time,28718,1000,0,1
130000,female,university,married,51,on time,on time,99,0,0,0
200000,male,graduate school,married,57,on time,on time,152519,0,0,1
10000,male,university,married,56,2 month(s) late,2 month(s) late,2097,2300,0,1
210000,female,graduate school,single,30,2 month(s) late,on time,300,300,1159,0
130000,female,high school,single,29,1 month(s) late,on time,-190,0,0,0
20000,male,other,single,22,2 month(s) late,on time,18565,0,1200,0
80000,male,graduate school,single,31,on time,on time,780,0,390,0
320000,male,university,single,29,2 month(s) late,2 month(s) late,58267,2500,2500,1
200000,female,university,married,32,on time,on time,9076,5818,15,0
290000,female,graduate school,single,37,1 month(s) late,on time,0,0,3155,0
340000,male,graduate school,single,32,on time,on time,3048,5713,23453,0
20000,male,university,single,24,on time,on time,14619,2850,0,0
50000,male,high school,single,25,on time,on time,42838,1759,1779,0
300000,female,graduate school,married,45,on time,on time,291,291,291,0
30000,female,university,single,22,on time,on time,28387,1686,1400,1
240000,female,university,single,44,1 month(s) late,on time,0,0,0,1
470000,female,high school,other,33,on time,on time,165254,6400,7566,0
360000,female,graduate school,single,26,on time,on time,23411,4796,3400,0
60000,male,high school,single,30,on time,on time,26324,1576,1213,1
400000,female,university,married,44,on time,on time,131595,10700,3,0
50000,female,high school,single,49,on time,on time,48909,1676,1302,0
160000,male,university,single,33,on time,on time,130028,4400,3547,0
360000,female,graduate school,married,45,on time,on time,390,1170,0,1
160000,female,university,single,32,on time,on time,3826,1147,2000,0
130000,female,graduate school,married,35,on time,on time,81313,40000,5000,0
20000,male,high school,single,44,2 month(s) late,2 month(s) late,8583,0,1651,0
200000,male,graduate school,married,53,2 month(s) late,2 month(s) late,138180,6300,5500,1
280000,female,graduate school,single,39,on time,on time,7524,0,3968,0
100000,female,graduate school,single,27,on time,on time,-2000,7555,0,0
160000,female,university,married,37,on time,on time,880,1602,840,0
60000,female,university,single,23,on time,on time,45648,1937,1301,0
90000,male,university,single,35,on time,on time,83725,3621,3597,0
360000,male,graduate school,married,43,on time,on time,3967,8339,3394,0
150000,male,graduate school,single,27,on time,on time,86009,4031,10006,0
50000,female,high school,married,22,on time,on time,18722,1411,1194,0
20000,male,university,married,38,on time,on time,17973,1699,1460,1
140000,male,graduate school,single,32,on time,on time,672,10212,850,0
380000,female,graduate school,single,30,on time,on time,-81,223,33178,0
480000,male,graduate school,married,63,on time,on time,422069,16078,55693,0
50000,female,high school,single,22,on time,on time,44698,1767,1362,1
60000,female,university,single,26,2 month(s) late,2 month(s) late,56685,0,5000,0
70000,female,university,single,24,on time,on time,5580,0,0,0
80000,female,university,married,36,on time,on time,6108,2861,3279,0
350000,male,graduate school,single,52,on time,on time,713,2272,722,0
130000,male,university,single,38,on time,on time,171438,10908,0,0
360000,male,university,married,35,1 month(s) late,on time,-103,0,0,0
330000,female,graduate school,married,31,on time,on time,105879,9260,0,0
50000,male,high school,married,47,on time,on time,13244,2000,1000,0
280000,male,university,married,41,2 month(s) late,2 month(s) late,135673,6500,0,0
100000,female,graduate school,single,24,on time,on time,52128,2000,2677,0
50000,male,university,single,41,on time,on time,19015,1340,1305,0
30000,male,graduate school,single,24,on time,2 month(s) late,18199,0,1312,1
240000,male,graduate school,single,28,on time,on time,326,326,326,0
80000,male,university,single,26,2 month(s) late,on time,14029,2000,1700,1
400000,male,university,married,34,on time,on time,19660,9677,11867,0
240000,female,university,single,38,on time,on time,50254,2000,3000,0
50000,male,high school,single,37,2 month(s) late,2 month(s) late,46004,1000,4035,1
450000,male,graduate school,married,40,1 month(s) late,on time,0,0,0,1
110000,female,graduate school,married,48,1 month(s) late,on time,0,0,0,0
310000,female,university,married,35,2 month(s) late,on time,304991,13019,11128,1
20000,male,graduate school,single,27,on time,on time,19115,1404,1130,0
20000,male,university,single,23,1 month(s) late,on time,0,0,0,0
200000,male,high school,single,52,on time,on time,110151,3568,3585,0
180000,male,graduate school,married,36,on time,on time,163736,4655,2690,1
50000,male,university,married,51,on time,on time,3347,1000,1066,1
